Hand:,RIGHT
,"r2c1-5-6-5,r1c1-5-7-5,r1c2-5-8-5,r2c2-5-8-4,r2c3-5-8-3,r2c4-5-8-2"
ID,Timestamp,isSubmitting,isCheckingCube,CubesInShape,CurrentDragging,CurrentPlacing
,49.4193,0,0,1,,
,49.4201,0,0,1,,
,49.42115,0,0,1,,
,49.42219,0,0,1,,
,49.42311,0,0,1,,
,49.4241,0,0,1,,
,49.42493,0,0,1,,
,49.42585,0,0,1,,
,49.4268,0,0,1,,
,49.42771,0,0,1,,
,49.42863,0,0,1,,
,49.42955,0,0,1,,
,49.43069,0,0,1,,
,49.43151,0,0,1,,
,49.43233,0,0,1,,
,49.43314,0,0,1,,
,49.43395,0,0,1,,
,49.43499,0,0,1,,
,49.43581,0,0,1,,
,49.43673,0,0,1,,
,49.43763,0,0,1,,
,49.43849,0,0,1,,
,49.43932,0,0,1,,
,49.44015,0,0,1,,
,49.44125,0,0,1,,
,49.44228,0,0,1,,
,49.44311,0,0,1,,
,49.44394,0,0,1,,
,49.44501,0,0,1,,
,49.44582,0,0,1,,
,49.44669,0,0,1,,
,49.44772,0,0,1,,
,49.44854,0,0,1,,
,49.44936,0,0,1,,
,49.45017,0,0,1,,
,49.45098,0,0,1,,
,49.45185,0,0,1,,
,49.45267,0,0,1,,
,49.45349,0,0,1,,
,49.4543,0,0,1,,
,49.4551,0,0,1,,
,49.45591,0,0,1,,
,49.45705,0,0,1,,
,49.45787,0,0,1,,
,49.45887,0,0,1,,
,49.45971,0,0,1,,
,49.46051,0,0,1,,
,49.46171,0,0,1,,
,49.46253,0,0,1,,
,49.46333,0,0,1,,
